City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Asau,RO,46.4333,26.4,40.28,82,78,7.23,broken clouds
198,Coruripe,BR,-10.1256,-36.1756,77.36,82,100,8.03,overcast clouds
199,Bethel,US,41.3712,-73.414,42.89,58,100,5.75,overcast clouds
200,Natal,BR,-5.795,-35.2094,74.05,94,0,2.3,clear sky
201,Saurimo,AO,-9.6608,20.3916,61.27,95,100,3.15,overcast clouds
202,Chuy,UY,-33.6971,-53.4616,67.69,83,0,7.83,clear sky
203,Marsh Harbour,BS,26.5412,-77.0636,69.06,61,0,4.05,clear sky
204,Hastings,GB,50.8552,0.5729,32.29,77,3,13.53,clear sky
205,Ribeira Grande,PT,38.5167,-28.7,55.78,83,22,8.99,few clouds
206,Aklavik,CA,68.2191,-135.0107,-16.89,97,100,0.47,overcast clouds
207,Torbay,CA,47.6666,-52.7314,48.97,97,100,11.5,light rain
208,Sinnamary,GF,5.3833,-52.95,75.49,82,97,6.17,overcast clouds
209,Upata,VE,8.0086,-62.3989,71.19,91,55,3.38,broken clouds
210,Kalmunai,LK,7.4167,81.8167,79.88,71,77,13.87,broken clouds
211,Goderich,CA,43.7501,-81.7165,38.91,93,100,10.36,overcast clouds
212,Usinsk,RU,65.9939,57.5281,15.78,94,100,18.57,light snow
213,Dulovo,BG,43.8167,27.15,56.55,67,96,25.66,overcast clouds
214,Casablanca,MA,33.5928,-7.6192,55.62,73,92,11.39,overcast clouds
215,Souillac,MU,-20.5167,57.5167,80.98,78,75,14.97,light rain
216,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.26,92,3,10.4,clear sky
217,Norman Wells,CA,65.282,-126.8329,-11.16,84,20,3.44,few clouds
218,Prince Albert,CA,53.2001,-105.7677,10.35,85,75,2.3,broken clouds
219,Port Elizabeth,ZA,-33.918,25.5701,74.1,97,99,10.36,overcast clouds
220,Shuyskoye,RU,59.3736,41.0305,28.0,93,100,11.18,overcast clouds
221,Acapulco,MX,16.8634,-99.8901,75.94,76,63,7.02,broken clouds
222,Villa Maria,AR,-32.4075,-63.2402,66.81,88,99,14.05,light rain
223,Berlevag,NO,70.8578,29.0864,28.4,74,27,4.61,scattered clouds
224,Broken Hill,AU,-31.95,141.4333,82.8,48,71,21.23,light rain
225,Ponazyrevo,RU,58.3578,46.3142,19.0,88,100,9.57,overcast clouds
226,Tivaouane,SN,14.9515,-16.8129,80.94,18,80,10.42,broken clouds
227,Punta Cardon,VE,11.6581,-70.215,76.93,82,25,18.79,scattered clouds
228,Marsabit,KE,2.3284,37.9899,66.6,38,70,12.93,broken clouds
229,Pyaozerskiy,RU,65.8333,31.1667,22.03,94,100,9.26,overcast clouds
230,Llanes,ES,43.4198,-4.7549,45.9,69,92,17.96,overcast clouds
231,Chekhov,RU,55.1431,37.4711,32.14,92,100,13.15,overcast clouds
232,Santa Ana,US,33.7456,-117.8678,53.89,77,0,4.61,clear sky
233,Serik,TR,36.9169,31.0989,55.65,79,82,3.67,broken clouds
234,Sylvan Lake,CA,52.3168,-114.0853,17.85,92,0,4.61,fog
235,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,69.62,90,6,1.95,clear sky
236,Verkhnyaya Toyma,RU,62.2349,44.9985,21.49,95,98,7.49,light snow
237,Bani Walid,LY,31.7566,13.9942,51.94,30,0,13.67,clear sky
238,Narsaq,GL,60.9167,-46.05,17.17,72,100,6.24,overcast clouds
239,Twistringen,DE,52.8,8.65,29.66,84,14,7.31,few clouds
240,Pacific Grove,US,36.6177,-121.9166,49.42,86,1,4.0,clear sky
241,Tobol,KZ,52.6844,62.5794,-6.74,79,1,5.3,clear sky
242,Wellington,NZ,-41.2866,174.7756,76.59,61,20,11.5,few clouds
243,Taxisco,GT,14.0708,-90.4631,70.9,88,56,1.7,broken clouds
244,Barcelos,PT,41.5388,-8.6151,46.54,76,99,14.88,overcast clouds
245,Vostok,RU,46.4856,135.8833,-1.68,80,79,7.09,broken clouds
246,Plettenberg Bay,ZA,-34.0527,23.3716,71.67,90,96,1.59,overcast clouds
247,Chara,RU,56.9064,118.2631,-25.37,95,99,0.96,overcast clouds
248,Kaeo,NZ,-35.1,173.7833,73.33,69,84,1.39,broken clouds
249,Upernavik,GL,72.7868,-56.1549,-12.3,94,100,6.64,overcast clouds
